Text,Gloss,NpyFilesRoot
i'm interested in learning about preventive measures for their condition,"PREVENTIVE MEASURES, CONDITION THEIR, LEARN ABOUT INTERESTED","/PREVENTIVE MEASURES, CONDITION THEIR, LEARN ABOUT INTERESTED/*.npy"
i'm worried about the pain after the procedure,"PROCEDURE AFTER, PAIN WORRY I","/PROCEDURE AFTER, PAIN WORRY I/*.npy"
we need to perform some routine checks before your procedure,PROCEDURE BEFORE CHECK ROUTINE NEED,/PROCEDURE BEFORE CHECK ROUTINE NEED/*.npy
i have a question about the consent form for the procedure,"PROCEDURE CONSENT FORM, QUESTION HAVE I","/PROCEDURE CONSENT FORM, QUESTION HAVE I/*.npy"
can you explain the procedure to me in detail?,PROCEDURE EXPLAIN DETAIL CAN YOU?,/PROCEDURE EXPLAIN DETAIL CAN YOU?/*.npy
how long do you expect the procedure to take?,"PROCEDURE LONG TAKE, EXPECT HOW LONG?","/PROCEDURE LONG TAKE, EXPECT HOW LONG?/*.npy"
do you have any concerns about the procedures we've recommended?,PROCEDURE RECOMMEND CONCERN HAVE YOU?,/PROCEDURE RECOMMEND CONCERN HAVE YOU?/*.npy
would you like to discuss the long-term prognosis of your condition?,PROGNOSIS LONG-TERM DISCUSS WANT?,/PROGNOSIS LONG-TERM DISCUSS WANT?/*.npy
can we discuss strategies for improving their quality of life?,"QUALITY LIFE THEIR, IMPROVE STRATEGIES, DISCUSS CAN?","/QUALITY LIFE THEIR, IMPROVE STRATEGIES, DISCUSS CAN?/*.npy"
i'm having a reaction to something what should i do?,"REACTION SOMETHING TO, WHAT DO SHOULD I?","/REACTION SOMETHING TO, WHAT DO SHOULD I?/*.npy"
i'm experiencing a reaction to a medication i recently started,RECENT MEDICINE START REACTION I HAVE,/RECENT MEDICINE START REACTION I HAVE/*.npy
what are the most important factors in their recovery process?,"RECOVERY IMPORTANT FACTORS, WHAT?","/RECOVERY IMPORTANT FACTORS, WHAT?/*.npy"
what should we expect during the recovery period?,"RECOVERY PERIOD, EXPECT WHAT?","/RECOVERY PERIOD, EXPECT WHAT?/*.npy"
how long is the recovery process?,RECOVERY PROCESS LONG HOW?,/RECOVERY PROCESS LONG HOW?/*.npy
i want to make sure we're doing everything possible for their recovery,"RECOVERY THEIR, EVERYTHING POSSIBLE DOING, MAKE SURE WANT","/RECOVERY THEIR, EVERYTHING POSSIBLE DOING, MAKE SURE WANT/*.npy"
is there a way i can help them with their recovery process?,"RECOVERY THEIR, HELP HOW CAN?","/RECOVERY THEIR, HELP HOW CAN?/*.npy"
i want to understand the timeline of their recovery process,"RECOVERY TIMELINE, UNDERSTAND WANT","/RECOVERY TIMELINE, UNDERSTAND WANT/*.npy"
can we discuss their rehabilitation plan?,"REHABILITATION PLAN THEIR, DISCUSS CAN?","/REHABILITATION PLAN THEIR, DISCUSS CAN?/*.npy"
can you help me schedule my rehabilitation sessions?,"REHABILITATION SESSIONS, SCHEDULE HELP CAN YOU?","/REHABILITATION SESSIONS, SCHEDULE HELP CAN YOU?/*.npy"
have you had any symptoms of respiratory problems?,RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?,/RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?/*.npy
i need information on respite care options,"RESPITE CARE OPTIONS, INFORMATION NEED","/RESPITE CARE OPTIONS, INFORMATION NEED/*.npy"
how can we ensure they're getting the right nutrition for healing?,"RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?","/RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?/*.npy"
we need to assess the risk factors,RISK FACTORS ASSESS NEED,/RISK FACTORS ASSESS NEED/*.npy
we will do a routine checkup,ROUTINE CHECKUP DO WILL,/ROUTINE CHECKUP DO WILL/*.npy
we recommend regular screenings for your condition when was your last screening?,SCREENING REGULAR RECOMMEND LAST WHEN?,/SCREENING REGULAR RECOMMEND LAST WHEN?/*.npy
can i get a second opinion?,SECOND OPINION GET CAN I?,/SECOND OPINION GET CAN I?/*.npy
can we get a second opinion regarding this treatment?,"SECOND OPINION GET CAN, TREATMENT THIS ABOUT?","/SECOND OPINION GET CAN, TREATMENT THIS ABOUT?/*.npy"
we will do a test for sexually transmitted infections,SEXUALLY TRANSMITTED INFECTIONS TEST DO,/SEXUALLY TRANSMITTED INFECTIONS TEST DO/*.npy
i have a sharp pain,SHARP PAIN I HAVE,/SHARP PAIN I HAVE/*.npy
please take off your shirt for the examination,SHIRT TAKE-OFF FOR EXAMINATION PLEASE,/SHIRT TAKE-OFF FOR EXAMINATION PLEASE/*.npy
please inform me if you're experiencing any side effects,SIDE EFFECTS EXPERIENCE INFORM ME,/SIDE EFFECTS EXPERIENCE INFORM ME/*.npy
i've been feeling better since the last appointment,SINCE LAST APPOINTMENT FEEL BETTER I,/SINCE LAST APPOINTMENT FEEL BETTER I/*.npy
can i talk to a social worker about my situation?,"SITUATION MY, SOCIAL WORKER TALK CAN I?","/SITUATION MY, SOCIAL WORKER TALK CAN I?/*.npy"
it's important to get regular skin checks for moles and spots,SKIN CHECKS REGULAR FOR MOLES SPOTS,/SKIN CHECKS REGULAR FOR MOLES SPOTS/*.npy
have you noticed any changes in your skin or hair?,SKIN HAIR CHANGES NOTICE YOU?,/SKIN HAIR CHANGES NOTICE YOU?/*.npy
it's important to protect your skin from sun exposure,SKIN SUN PROTECT IMPORTANT,/SKIN SUN PROTECT IMPORTANT/*.npy
we'll be doing a skin test to check for allergies,SKIN TEST DO FOR ALLERGIES CHECK,/SKIN TEST DO FOR ALLERGIES CHECK/*.npy
how has your sleep been affected by your health issues?,SLEEP AFFECT HEALTH HOW?,/SLEEP AFFECT HEALTH HOW?/*.npy
are you experiencing any sleep disturbances?,SLEEP DISTURBANCES EXPERIENCE YOU?,/SLEEP DISTURBANCES EXPERIENCE YOU?/*.npy
can we talk about ways to improve their sleep quality?,"SLEEP QUALITY IMPROVE, WAYS TALK ABOUT?","/SLEEP QUALITY IMPROVE, WAYS TALK ABOUT?/*.npy"
i'm having trouble sleeping can you help?,"SLEEP TROUBLE HAVE I, HELP CAN YOU?","/SLEEP TROUBLE HAVE I, HELP CAN YOU?/*.npy"
we're going to take a small sample for a biopsy,SMALL SAMPLE TAKE WE WILL FOR BIOPSY,/SMALL SAMPLE TAKE WE WILL FOR BIOPSY/*.npy
we need to discuss your smoking habits,SMOKING HABITS DISCUSS NEED,/SMOKING HABITS DISCUSS NEED/*.npy
let's discuss ways to help you quit smoking,SMOKING QUIT HELP DISCUSS,/SMOKING QUIT HELP DISCUSS/*.npy
I am allergic to some medications,SOME MEDICINES ALLERGIC I,/SOME MEDICINES ALLERGIC I/*.npy
i'm experiencing some side effects,SOME SIDE EFFECTS EXPERIENCE I,/SOME SIDE EFFECTS EXPERIENCE I/*.npy
"i'm traveling soon, can i get extra supply?","SOON TRAVEL I, EXTRA SUPPLY GET CAN I?","/SOON TRAVEL I, EXTRA SUPPLY GET CAN I?/*.npy"
can i get a recommendation for a specialist in my area?,"SPECIALIST AREA MY, RECOMMENDATION GET CAN?","/SPECIALIST AREA MY, RECOMMENDATION GET CAN?/*.npy"
do you need a referral to a specialist for this condition?,SPECIALIST REFERRAL NEED YOU?,/SPECIALIST REFERRAL NEED YOU?/*.npy
we'll start with a basic hearing test and proceed from there,"START BASIC HEARING TEST, THEN CONTINUE","/START BASIC HEARING TEST, THEN CONTINUE/*.npy"
can i stay in a private room?,STAY PRIVATE ROOM CAN I?,/STAY PRIVATE ROOM CAN I?/*.npy
are you currently experiencing any stress or anxiety related to your health?,STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?,/STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?/*.npy
can you provide tips on managing stress related to caregiving?,"STRESS CAREGIVING, MANAGING TIPS PROVIDE CAN?","/STRESS CAREGIVING, MANAGING TIPS PROVIDE CAN?/*.npy"
i'm experiencing a lot of stress can you recommend support?,"STRESS LOT EXPERIENCE I, SUPPORT RECOMMEND CAN?","/STRESS LOT EXPERIENCE I, SUPPORT RECOMMEND CAN?/*.npy"
how have you been managing your stress levels?,STRESS MANAGE HOW YOU?,/STRESS MANAGE HOW YOU?/*.npy
we need to evaluate your risk for stroke,STROKE RISK EVALUATE NEED,/STROKE RISK EVALUATE NEED/*.npy
i need to know the warning signs of a stroke,"STROKE WARNING SIGNS, KNOW NEED I","/STROKE WARNING SIGNS, KNOW NEED I/*.npy"
can you provide a list of all the supplements and vitamins you're taking?,SUPPLEMENT VITAMIN LIST CAN GIVE?,/SUPPLEMENT VITAMIN LIST CAN GIVE?/*.npy
would you like information on support groups for individuals with your condition?,SUPPORT GROUP INFORMATION WANT?,/SUPPORT GROUP INFORMATION WANT?/*.npy
we offer various support groups for patients,SUPPORT GROUPS VARIOUS WE OFFER,/SUPPORT GROUPS VARIOUS WE OFFER/*.npy
can you provide information on support groups for this condition?,"SUPPORT GROUPS, CONDITION THIS, INFORMATION CAN?","/SUPPORT GROUPS, CONDITION THIS, INFORMATION CAN?/*.npy"
are there any support services available for family members?,"SUPPORT SERVICES FAMILY, AVAILABLE ANY?","/SUPPORT SERVICES FAMILY, AVAILABLE ANY?/*.npy"
can you help me understand my surgery consent form?,"SURGERY CONSENT FORM, UNDERSTAND HELP NEED I","/SURGERY CONSENT FORM, UNDERSTAND HELP NEED I/*.npy"
have you had any previous surgeries?,SURGERY PAST YOU HAVE ANY?,/SURGERY PAST YOU HAVE ANY?/*.npy
would you like to know more about the recovery process after your surgery?,SURGERY RECOVERY PROCESS MORE KNOW WANT?,/SURGERY RECOVERY PROCESS MORE KNOW WANT?/*.npy
we need to discuss the potential risks associated with this surgery,SURGERY RISK DISCUSS NEED,/SURGERY RISK DISCUSS NEED/*.npy
can you explain the risks of this surgery?,"SURGERY RISK, EXPLAIN CAN YOU?","/SURGERY RISK, EXPLAIN CAN YOU?/*.npy"
can we get a detailed explanation of their surgery?,"SURGERY THEIR, EXPLANATION DETAILED GET CAN?","/SURGERY THEIR, EXPLANATION DETAILED GET CAN?/*.npy"
i'm worried about my upcoming surgery,"SURGERY UPCOMING, WORRY ABOUT","/SURGERY UPCOMING, WORRY ABOUT/*.npy"
do you have any difficulty swallowing pills?,SWALLOW PILLS DIFFICULTY YOU HAVE?,/SWALLOW PILLS DIFFICULTY YOU HAVE?/*.npy
have you noticed any unusual swelling or redness?,SWELLING REDNESS UNUSUAL NOTICE YOU?,/SWELLING REDNESS UNUSUAL NOTICE YOU?/*.npy
are there any symptoms or changes you're particularly concerned about?,SYMPTOM CHANGE SPECIFIC CONCERN HAVE?,/SYMPTOM CHANGE SPECIFIC CONCERN HAVE?/*.npy
can you describe the frequency and intensity of your symptoms?,SYMPTOM FREQUENCY INTENSITY DESCRIBE CAN?,/SYMPTOM FREQUENCY INTENSITY DESCRIBE CAN?/*.npy
we recommend keeping a journal of your symptoms for better tracking,SYMPTOM JOURNAL KEEP RECOMMEND,/SYMPTOM JOURNAL KEEP RECOMMEND/*.npy
it's important to report any new symptoms immediately,SYMPTOM NEW REPORT IMPORTANT,/SYMPTOM NEW REPORT IMPORTANT/*.npy
it's important to keep us updated on any new symptoms or changes,SYMPTOM NEW UPDATE US IMPORTANT,/SYMPTOM NEW UPDATE US IMPORTANT/*.npy
can you describe any patterns or triggers you've noticed related to your symptoms?,SYMPTOM PATTERN TRIGGER NOTICE ANY?,/SYMPTOM PATTERN TRIGGER NOTICE ANY?/*.npy
are there any specific symptoms we should be monitoring more closely?,SYMPTOM SPECIFIC MONITOR CLOSE NEED?,/SYMPTOM SPECIFIC MONITOR CLOSE NEED?/*.npy
it's important to report any unusual or new symptoms immediately,SYMPTOM UNUSUAL NEW REPORT IMPORTANT,/SYMPTOM UNUSUAL NEW REPORT IMPORTANT/*.npy
how long have you been experiencing these symptoms?,SYMPTOMS LONG HOW EXPERIENCE YOU?,/SYMPTOMS LONG HOW EXPERIENCE YOU?/*.npy
please keep track of your symptoms in this diary,SYMPTOMS TRACK DIARY IN PLEASE,/SYMPTOMS TRACK DIARY IN PLEASE/*.npy
would you like to know more about the technology or equipment we'll be using?,TECHNOLOGY EQUIPMENT USE KNOW MORE WANT?,/TECHNOLOGY EQUIPMENT USE KNOW MORE WANT?/*.npy
please let us know if there's any discomfort during the tests,TEST DURING DISCOMFORT TELL US,/TEST DURING DISCOMFORT TELL US/*.npy
i need help understanding my test results,TEST RESULT UNDERSTAND HELP NEED I,/TEST RESULT UNDERSTAND HELP NEED I/*.npy
i'm concerned about the costs of these tests,TESTS COSTS WORRY I,/TESTS COSTS WORRY I/*.npy
i'm concerned about the radiation exposure during the tests,"TESTS RADIATION EXPOSURE, CONCERNED ABOUT","/TESTS RADIATION EXPOSURE, CONCERNED ABOUT/*.npy"
can you help us understand the results of their recent tests?,"TESTS RECENT, RESULTS UNDERSTAND HELP","/TESTS RECENT, RESULTS UNDERSTAND HELP/*.npy"
would you like to know more about alternative or complementary therapies?,THERAPY ALTERNATIVE COMPLEMENTARY KNOW MORE WANT?,/THERAPY ALTERNATIVE COMPLEMENTARY KNOW MORE WANT?/*.npy
i'd like to know more about the therapy options available,"THERAPY OPTIONS, MORE KNOW WANT","/THERAPY OPTIONS, MORE KNOW WANT/*.npy"
please make sure to attend all scheduled therapy sessions,THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE,/THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE/*.npy
do these symptoms indicate something serious?,THESE SYMPTOMS SERIOUS INDICATE?,/THESE SYMPTOMS SERIOUS INDICATE?/*.npy
should i be concerned about these symptoms?,THESE SYMPTOMS WORRY SHOULD I?,/THESE SYMPTOMS WORRY SHOULD I?/*.npy
can this condition affect my daily activities?,THIS CONDITION DAILY ACTIVITIES AFFECT CAN?,/THIS CONDITION DAILY ACTIVITIES AFFECT CAN?/*.npy
have you tried any medications for this issue?,THIS ISSUE MEDICATION TRY YOU?,/THIS ISSUE MEDICATION TRY YOU?/*.npy
can i take this medicine on an empty stomach?,THIS MEDICINE TAKE EMPTY STOMACH CAN I?,/THIS MEDICINE TAKE EMPTY STOMACH CAN I?/*.npy
take this medication with meals to avoid stomach upset,THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET,/THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET/*.npy
how quickly does this pain reliever work?,THIS PAIN RELIEVER WORK QUICK?,/THIS PAIN RELIEVER WORK QUICK?/*.npy
this prescription will need to be renewed after one month,THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER,/THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER/*.npy
we need your consent for this procedure,THIS PROCEDURE YOUR CONSENT WE NEED,/THIS PROCEDURE YOUR CONSENT WE NEED/*.npy
do i need to be fasting for this test?,"THIS TEST, FASTING NEED I?","/THIS TEST, FASTING NEED I?/*.npy"
we need to monitor your thyroid levels,THYROID LEVELS MONITOR,/THYROID LEVELS MONITOR/*.npy
we'll need to take some routine blood tests today,TODAY BLOOD TEST ROUTINE NEED WE,/TODAY BLOOD TEST ROUTINE NEED WE/*.npy
are there any specific concerns you'd like to address today?,TODAY SPECIFIC CONCERN HAVE YOU?,/TODAY SPECIFIC CONCERN HAVE YOU?/*.npy
is it safe for me to travel with my condition?,"TRAVEL SAFE FOR ME, CONDITION WITH?","/TRAVEL SAFE FOR ME, CONDITION WITH?/*.npy"
it's important to get vaccinations before your travel,TRAVEL VACCINATIONS GET BEFORE IMPORTANT,/TRAVEL VACCINATIONS GET BEFORE IMPORTANT/*.npy
is it normal to feel this tired after the treatment?,"TREATMENT AFTER, TIRED THIS NORMAL?","/TREATMENT AFTER, TIRED THIS NORMAL?/*.npy"
would you like to discuss alternative treatments available?,TREATMENT ALTERNATIVE DISCUSS WANT?,/TREATMENT ALTERNATIVE DISCUSS WANT?/*.npy
do you have any questions about the consent forms for your treatment?,TREATMENT CONSENT FORM QUESTION HAVE?,/TREATMENT CONSENT FORM QUESTION HAVE?/*.npy
do you have any concerns about the potential costs of your treatment?,TREATMENT COST CONCERN HAVE?,/TREATMENT COST CONCERN HAVE?/*.npy
we need to ensure your current treatments aren't conflicting with each other,TREATMENT CURRENT CONFLICT CHECK NEED,/TREATMENT CURRENT CONFLICT CHECK NEED/*.npy
i'm not feeling any relief from the current treatment,"TREATMENT CURRENT, RELIEF NONE FEEL I","/TREATMENT CURRENT, RELIEF NONE FEEL I/*.npy"
do you have any concerns about the duration or frequency of your treatment?,TREATMENT DURATION FREQUENCY CONCERN HAVE?,/TREATMENT DURATION FREQUENCY CONCERN HAVE?/*.npy
would you like to discuss potential future changes in your treatment?,TREATMENT FUTURE CHANGE DISCUSS WANT?,/TREATMENT FUTURE CHANGE DISCUSS WANT?/*.npy
can you help us understand the goals of their current treatment?,"TREATMENT GOALS THEIR, UNDERSTAND HELP CAN?","/TREATMENT GOALS THEIR, UNDERSTAND HELP CAN?/*.npy"
i'm worried about the long-term effects of my treatment,"TREATMENT LONG-TERM EFFECTS, WORRY I","/TREATMENT LONG-TERM EFFECTS, WORRY I/*.npy"
are you aware of the potential side effects of this new treatment?,TREATMENT NEW SIDE EFFECT AWARE?,/TREATMENT NEW SIDE EFFECT AWARE?/*.npy
can you explain the benefits of this new treatment?,"TREATMENT NEW, BENEFITS EXPLAIN CAN YOU?","/TREATMENT NEW, BENEFITS EXPLAIN CAN YOU?/*.npy"
can i discuss my treatment options with the doctor?,"TREATMENT OPTIONS DISCUSS, WITH DOCTOR CAN I?","/TREATMENT OPTIONS DISCUSS, WITH DOCTOR CAN I?/*.npy"
can you provide details of your previous treatments for this condition?,TREATMENT PAST DETAIL CAN GIVE?,/TREATMENT PAST DETAIL CAN GIVE?/*.npy
would you like a copy of your treatment plan for your records?,TREATMENT PLAN COPY WANT FOR RECORD?,/TREATMENT PLAN COPY WANT FOR RECORD?/*.npy
are you experiencing any difficulties with your current treatment plan?,TREATMENT PLAN CURRENT DIFFICULTY HAVE YOU?,/TREATMENT PLAN CURRENT DIFFICULTY HAVE YOU?/*.npy
we need to ensure your treatment plan is still effective and appropriate,TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED,/TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED/*.npy
i'm not sure i understand my treatment plan,"TREATMENT PLAN MY, UNDERSTAND NOT SURE I","/TREATMENT PLAN MY, UNDERSTAND NOT SURE I/*.npy"
how comfortable are you with the proposed treatment plan?,TREATMENT PLAN PROPOSE COMFORTABLE YOU?,/TREATMENT PLAN PROPOSE COMFORTABLE YOU?/*.npy
what are the risks if they don't follow the treatment plan strictly?,"TREATMENT PLAN, FOLLOW STRICTLY NOT, RISKS WHAT?","/TREATMENT PLAN, FOLLOW STRICTLY NOT, RISKS WHAT?/*.npy"
do you have any specific requests or preferences for your treatment?,TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?,/TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?/*.npy
i'd like to be updated regularly on their treatment progress,"TREATMENT PROGRESS, UPDATED REGULARLY, WANT","/TREATMENT PROGRESS, UPDATED REGULARLY, WANT/*.npy"
are you feeling any relief from the treatment?,TREATMENT RELIEF FEEL YOU?,/TREATMENT RELIEF FEEL YOU?/*.npy
how soon can i expect to see results from the treatment?,TREATMENT RESULTS SEE EXPECT WHEN?,/TREATMENT RESULTS SEE EXPECT WHEN?/*.npy
are there any questions you have about the risks or benefits of your treatment?,TREATMENT RISK BENEFIT QUESTION HAVE?,/TREATMENT RISK BENEFIT QUESTION HAVE?/*.npy
we need to discuss potential risks and benefits of this treatment,TREATMENT RISKS BENEFITS DISCUSS NEED,/TREATMENT RISKS BENEFITS DISCUSS NEED/*.npy
i'd like to understand more about the side effects of their treatment,"TREATMENT SIDE EFFECTS, UNDERSTAND MORE WANT","/TREATMENT SIDE EFFECTS, UNDERSTAND MORE WANT/*.npy"
is this treatment covered by my insurance?,"TREATMENT THIS, INSURANCE COVER?","/TREATMENT THIS, INSURANCE COVER?/*.npy"
please lie still while we perform the ultrasound,ULTRASOUND DO LIE-STILL PLEASE,/ULTRASOUND DO LIE-STILL PLEASE/*.npy
i'm here to ensure they understand everything can you explain that again?,"UNDERSTAND EVERYTHING ENSURE, EXPLAIN AGAIN CAN YOU?","/UNDERSTAND EVERYTHING ENSURE, EXPLAIN AGAIN CAN YOU?/*.npy"
do you have any questions about your upcoming surgery?,UPCOMING SURGERY QUESTIONS ANY?,/UPCOMING SURGERY QUESTIONS ANY?/*.npy
i'm feeling anxious about my upcoming surgery,"UPCOMING SURGERY, ANXIOUS FEEL I","/UPCOMING SURGERY, ANXIOUS FEEL I/*.npy"
can you explain the procedure for my upcoming test?,"UPCOMING TEST, PROCEDURE EXPLAIN CAN YOU?","/UPCOMING TEST, PROCEDURE EXPLAIN CAN YOU?/*.npy"
have you been experiencing any urinary problems?,URINARY PROBLEMS EXPERIENCE YOU?,/URINARY PROBLEMS EXPERIENCE YOU?/*.npy
we'll need a urine sample for testing,URINE SAMPLE WE NEED FOR TEST,/URINE SAMPLE WE NEED FOR TEST/*.npy
i'm feeling more tired than usual is that normal?,"USUAL MORE TIRED FEEL I, NORMAL?","/USUAL MORE TIRED FEEL I, NORMAL?/*.npy"
we'll need to review your vaccination history,VACCINATION HISTORY REVIEW NEED,/VACCINATION HISTORY REVIEW NEED/*.npy
this vaccination is important for your travel destination,VACCINATION IMPORTANT FOR YOUR TRAVEL,/VACCINATION IMPORTANT FOR YOUR TRAVEL/*.npy
we need to update your vaccination record when was your last vaccine?,VACCINE RECORD UPDATE NEED LAST VACCINE WHEN?,/VACCINE RECORD UPDATE NEED LAST VACCINE WHEN?/*.npy
have you noticed any changes in your vision or hearing?,VISION HEARING CHANGE NOTICE YOU?,/VISION HEARING CHANGE NOTICE YOU?/*.npy
i'm having trouble with my vision is that caused by my medication?,"VISION TROUBLE HAVE I, MEDICATION CAUSE?","/VISION TROUBLE HAVE I, MEDICATION CAUSE?/*.npy"
would you like a summary of your visit for your records?,VISIT SUMMARY WANT FOR RECORD YOUR?,/VISIT SUMMARY WANT FOR RECORD YOUR?/*.npy
what are the visiting hours?,VISITING HOURS WHAT?,/VISITING HOURS WHAT?/*.npy
how long is the waiting time usually?,WAIT TIME USUALLY HOW LONG?,/WAIT TIME USUALLY HOW LONG?/*.npy
"can i have some water, please?",WATER CAN I HAVE PLEASE?,/WATER CAN I HAVE PLEASE?/*.npy
we have a small waiting period,WE HAVE LITTLE WAIT,/WE HAVE LITTLE WAIT/*.npy
we need to update your contact information in our records,WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD,/WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD/*.npy
we'll review your medical history before proceeding,WE REVIEW YOUR MEDICAL HISTORY BEFORE CONTINUE,/WE REVIEW YOUR MEDICAL HISTORY BEFORE CONTINUE/*.npy
i'm concerned about my weight loss is it related to my condition?,"WEIGHT LOSS MY, CONDITION RELATED?","/WEIGHT LOSS MY, CONDITION RELATED?/*.npy"
we need to discuss strategies for weight management,WEIGHT MANAGEMENT STRATEGIES DISCUSS,/WEIGHT MANAGEMENT STRATEGIES DISCUSS/*.npy
would you like more information on how to improve your overall wellness?,WELLNESS OVERALL IMPROVE INFORMATION WANT?,/WELLNESS OVERALL IMPROVE INFORMATION WANT?/*.npy
what symptoms should prompt me to come back?,"WHAT SYMPTOMS, COME BACK PROMPT SHOULD?","/WHAT SYMPTOMS, COME BACK PROMPT SHOULD?/*.npy"
I need a wheelchair,WHEELCHAIR NEED I,/WHEELCHAIR NEED I/*.npy
i'm worried about returning to work after my surgery,"WORK RETURN WORRY I, SURGERY AFTER","/WORK RETURN WORRY I, SURGERY AFTER/*.npy"
i need help with wound care,WOUND CARE HELP NEED I,/WOUND CARE HELP NEED I/*.npy
can you show me how to properly care for their wound at home?,"WOUND CARE HOW, SHOW ME","/WOUND CARE HOW, SHOW ME/*.npy"
we need to check the healing process of your wound,WOUND HEALING CHECK NEED,/WOUND HEALING CHECK NEED/*.npy
we need to take a few x-rays,X-RAYS FEW TAKE NEED WE,/X-RAYS FEW TAKE NEED WE/*.npy
"i forgot to take my medication yesterday, what should i do?","YESTERDAY FORGOT TAKE MEDICINE, DO WHAT I?","/YESTERDAY FORGOT TAKE MEDICINE, DO WHAT I?/*.npy"
could you please provide your identification and insurance details?,YOU CAN GIVE ME YOUR ID AND INSURANCE INFORMATION PLEASE?,/YOU CAN GIVE ME YOUR ID AND INSURANCE INFORMATION PLEASE?/*.npy
are you here for a follow-up or a new consultation?,YOU COME HERE FOR FOLLOW-UP OR NEW CONSULT?,/YOU COME HERE FOR FOLLOW-UP OR NEW CONSULT?/*.npy
do you have any chronic illnesses?,YOU HAVE CHRONIC ILLNESS ANY?,/YOU HAVE CHRONIC ILLNESS ANY?/*.npy
could you please fill out this form?,YOU MIND FILL-OUT FORM?,/YOU MIND FILL-OUT FORM?/*.npy
we'll be monitoring your condition closely,YOUR CONDITION WE MONITOR CLOSE,/YOUR CONDITION WE MONITOR CLOSE/*.npy
we'll schedule your next appointment before you leave today,YOUR NEXT APPOINTMENT WE SCHEDULE BEFORE YOU LEAVE TODAY,/YOUR NEXT APPOINTMENT WE SCHEDULE BEFORE YOU LEAVE TODAY/*.npy
your privacy and confidentiality are important to us,YOUR PRIVACY CONFIDENTIALITY IMPORTANT US,/YOUR PRIVACY CONFIDENTIALITY IMPORTANT US/*.npy
can you describe your symptoms and when they started?,YOUR SYMPTOMS DESCRIBE CAN? START WHEN?,/YOUR SYMPTOMS DESCRIBE CAN? START WHEN?/*.npy